PORT_NAME,PORT_LAT,PORT_LON
"PORTLAND, ME",43.6591,-70.256821
"BANGOR, ME",44.801613,-68.771225
"EASTPORT, ME",44.902756,-66.995239
"JACKMAN, ME",45.721958,-70.259743
"VANCEBORO, ME",45.5,-67.4
"HOULTON, ME",46.1,-67.8
"FORT FAIRFIELD, ME",46.7,-67.8
"VAN BUREN, ME",47.2,-68
"MADAWASKA, ME",47.3,-68.2
"FORT KENT, ME",47.2,-68.5
"BATH, ME",43.9,-69.8
"BAR HARBOR, ME",44.4,-68.2
"CALAIS, ME",45.2,-67.2
"BRIDGEWATER, ME",46.4,-67.8
"PORTSMOUTH, NH",43.1,-70
"RICHFORD, VT",45,-72.6
"BEECHER FALLS, VT",45,-71.5
"BURLINGTON, VT",44.5,-73
"DERBY LINE, VT",45,-72.1
"NORTON, VT",45,-71.8
"HIGHGATE SPRINGS-ALBURG, VT",45,-73.1
"BOSTON, MA",42.3,-71
"WORCESTER, MA",42.25,-71.8
"NEW BEDFORD, MA",41.6,-70.9
"PLYMOUTH, MA",41.95,-70.67
"BRIDGEPORT, CT",41.17,-73.2
"HARTFORD, CT",41.76,-72.7
"NEW LONDON, CT",41.35,-72.1
"LOGAN AIRPORT, MA",42.36,-71.02
"PROVIDENCE, RI",41.82,-71.4
"OGDENSBURG, NY",44.7,-75.49
"MASSENA, NY",44.93,-74.89
"ALEXANDRIA BAY, NY",44.34,-75.91
"CHAMPLAIN-ROUSES POINT, NY",44.99,-73.36
"CLAYTON, NY",44.24,-76.08
"TROUT RIVER, NY",44.99,-74.3
"BUFFALO-NIAGARA FALLS, NY",42.94,-78.73
"ROCHESTER, NY",43.25,-77.62
"OSWEGO, NY",43.45,-76.5
"SYRACUSE, NY",43.04,-76.15
"NEW YORK, NY",40.7,-74
"ALBANY, NY",42.66,-73.75
"NEWARK, NJ",40.7,-74.16
"PERTH AMBOY, NJ",40.5,-74.26
"JFK INTERNATIONAL AIRPORT, NY",40.64,-73.78
"MORRISTOWN AIRPORT, NEWARK, NJ",40.8,-74.4
"PHILADELPHIA, PA",39.93,-75.15
"CHESTER, PA",39.85,-75.36
"WILMINGTON, DE",39.73,-75.51
"PITTSBURGH, PA",40.49,-80.24
"WILKES-BARRE/SCRANTON, PA",41.34,-75.7
"PHILADELPHIA INTERNATIONAL AIRPORT, PA",39.87,-75.24
"HARRISBURG, PA",40.27,-76.89
"GLOUCESTER CITY, NJ",39.9,-75.12
"ALLENTOWN, PA",40.65,-75.44
"ATLANTIC CITY USER FEE AIRPORT, NJ",39.45,-74.57
"CAMBRIDGE, MD",38.57,-76.07
"BALTIMORE, MD",39.27,-76.57
"BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT, MD",39.18,-76.67
"NORFOLK-NEWPORT NEWS, VA",36.92,-76.32
"RICHMOND-PETERSBURG, VA",37.52,-77.44
"WILMINGTON, NC",34.2,-77.83
"WINSTON-SALEM, NC",36.13,-80.22
"DURHAM, NC",35.88,-78.79
"CHARLOTTE, NC",35.22,-80.95
"CHARLESTON, SC",32.78,-79.93
"GEORGETOWN, SC",33.37,-79.29
"GREENVILLE-SPARTANSBURG, SC",34.9,-82.22
"COLUMBIA, SC",33.94,-81.12
"MYRTLE BEACH INTERNATIONAL AIRPORT, SC",33.68,-78.93
"BRUNSWICK, GA",31.13,-81.49
"SAVANNAH, GA",32.07,-81.08
"ATLANTA, GA",33.63,-84.43
"TAMPA, FL",27.98,-82.53
"JACKSONVILLE, FL",30.3,-81.56
"FERNANDINA, FL",30.61,-81.46
"ORLANDO, FL",28.42,-81.31
"ORLANDO-SANFORD AIRPORT, FL",28.775,-81.23
"PORT CANAVERAL, FL",28.41,-80.63
"PANAMA CITY, FL",30.17,-85.68
"PENSACOLA, FL",30.41,-87.21
"PORT MANATEE, FL",27.63,-82.56
"FORT MYERS AIRPORT, FL",26.53,-81.76
"ORLANDO EXECUTIVE AIRPORT, FL",28.55,-81.33
"MOBILE, AL",30.67,-88.04
"GULFPORT, MS",30.36,-89.09
"PASCAGOULA, MS",30.35,-88.56
"BIRMINGHAM, AL",33.56,-86.75
"HUNTSVILLE, AL",34.635,-86.78
"MORGAN CITY, LA",29.69,-91.2
"NEW ORLEANS, LA",30.04,-89.96
"BATON ROUGE, LA",30.44,-91.17
"MEMPHIS, TN",35.04,-89.98
"NASHVILLE, TN",36.12,-86.675
"GRAMERCY, LA",30.05,-90.68
"VICKSBURG, MS",32.23,-90.93
"KNOXVILLE, TN",35.8,-84
"LAKE CHARLES, LA",30.21,-93.23
"SHREVEPORT-BOSSIER CITY, LA",32.54,-93.83
"TRI-CITY AIRPORT, BLOUNTVILLE, TN",36.48,-82.4
"PORT ARTHUR, TX",29.9,-93.9
"SABINE, TX",31.32,-93.8
"BEAUMONT, TX",30.07,-94.09
"BROWNSVILLE, TX",25.93,-97.47
"DEL RIO, TX",29.37,-100.92
"EAGLE PASS, TX",28.7,-100.49
"LAREDO, TX",27.54,-99.46
"HILDAGO, TX",26.176,-98.24
"RIO GRANDE CITY, TX",26.37,-98.83
"PROGRESO, TX",26.09,-97.96
"ROMA, TX",26.4,-99.01
"YSLETA, TX",31.69,-106.33
"EL PASO, TX",31.8,-106.37
"PRESIDIO, TX",29.56,-104.38
"FABENS, TX",31.52,-106.15
"COLUMBUS, NM",31.83,-107.64
"ALBUQUERQUE, NM",35.04,-106.61
